category_zh,category_en,category_el,name_zh,name_en,name_el,description_zh,description_en,description_el,price,image_url,is_available,sort_order
"汤类","Soups","ΣΟΥΠΕΣ","3. 汤 配 Won Ton","3. Soup with Won Ton","3. Σούπα με Won Ton","Mε won ton από φύλλα ζυμαρικών 配 χοιρινό 和 γαρίδα","Mε won ton από φύλλα ζυμαρικών with χοιρινό and γαρίδα","Mε won ton από φύλλα ζυμαρικών με χοιρινό και γαρίδα","5.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/18ad0cc6-1b72-11ec-92bd-6ebdeeb82a10_wok26.jpeg","true","3003"
"汤类","Soups","ΣΟΥΠΕΣ","4. 汤 配 Dumplings 虾","4. Soup with Dumplings Shrimp","4. Σούπα με Dumplings Γαρίδας","汤 配 dumplings από φύλλα ζυμαρικών 配 γαρίδα 和 λάχανο","Soup with dumplings από φύλλα ζυμαρικών with γαρίδα and λάχανο","Σούπα με dumplings από φύλλα ζυμαρικών με γαρίδα και λάχανο","6.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/0ceae3aa-1b71-11ec-8084-56b14c1eeb29_wok12.jpeg","true","3004"
"汤类","Soups","ΣΟΥΠΕΣ","5. 汤 配 海鲜","5. Soup with Seafood","5. Σούπα με Θαλασσινά","Με θαλασσινά 和 tofu","Με θαλασσινά and tofu","Με θαλασσινά και tofu","5.9","","true","3005"
"汤类","Soups","ΣΟΥΠΕΣ","6. 汤 配 豆类","6. Soup with Beans","6. Σούπα με Φασόλια","Με φασόλια 和 λάχανο","Με φασόλια and λάχανο","Με φασόλια και λάχανο","4.5","","true","3006"
"汤类","Soups","ΣΟΥΠΕΣ","7. 汤 配 蔬菜","7. Soup with Vegetables","7. Σούπα με Λαχανικά","","","","4.5","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/006a3a86-1b71-11ec-93e4-42d0deb10ffb_wok11.jpeg","true","3007"
"汤类","Soups","ΣΟΥΠΕΣ","8. 汤 配 番茄 和 鸡蛋","8. Soup with Tomato and Egg","8. Σούπα με Ντομάτα και Αυγό","","","","4.5","","true","3008"
"沙拉","Salads","ΣΑΛΑΤΕΣ","27. 中式","27. Chinese","27. Κινέζικη","沙拉 配 λαχανικά εποχής 和 dressing σουσαμιού","Salad with λαχανικά εποχής and dressing σουσαμιού","Σαλάτα με λαχανικά εποχής και dressing σουσαμιού","8.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/f09a51ae-1b70-11ec-b326-e252303437ee_wok10.jpeg","true","4001"
"沙拉","Salads","ΣΑΛΑΤΕΣ","28. 糖醋","28. Sweet and Sour","28. Γλυκόξινη","沙拉 配 λαχανικά εποχής 和 γλυκόξινη σως","Salad with λαχανικά εποχής and γλυκόξινη σως","Σαλάτα με λαχανικά εποχής και γλυκόξινη σως","8.9","","true","4002"
"沙拉","Salads","ΣΑΛΑΤΕΣ","29. Special Wok Dragon","29. Special Wok Dragon","29. Special Wok Dragon","沙拉 配 λαχανικά εποχής, πάπια 和 γλυκιά chili σως","Salad with λαχανικά εποχής, πάπια and γλυκιά chili σως","Σαλάτα με λαχανικά εποχής, πάπια και γλυκιά chili σως","9.9","","true","4003"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","10. 春卷","10. Spring Rolls","10. Ανοιξιάτικα Ρολά","2 Τεμάχια. Ανοιξιάτικα ρολά 配 καρότο, μανιτάρια, φρέσκο κρεμμύδι, λάχανο 和 glass noodles σε τραγανό φύλλο","2 Τεμάχια. Ανοιξιάτικα ρολά with καρότο, μανιτάρια, φρέσκο κρεμμύδι, λάχανο and glass noodles σε τραγανό φύλλο","2 Τεμάχια. Ανοιξιάτικα ρολά με καρότο, μανιτάρια, φρέσκο κρεμμύδι, λάχανο και glass noodles σε τραγανό φύλλο","3.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/bf1b928c-1b70-11ec-b9c7-42d0deb10ffb_wok7.jpeg","true","5001"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","11. 炒/炸 Won Ton","11. Fried Won Ton","11. Τηγανητά Won Ton","4 Τεμάχια. Τραγανά φιογκάκια 配 κοτόπουλο","4 Τεμάχια. Τραγανά φιογκάκια with κοτόπουλο","4 Τεμάχια. Τραγανά φιογκάκια με κοτόπουλο","3.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/a4a9b35c-1b70-11ec-afba-8e8bbced4648_wok6.jpeg","true","5002"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","12. 卷 虾","12. Rolls Shrimp","12. Ρολά Γαρίδας","2 Τεμάχια. 卷 γαρίδας 配 καρότο, μανιτάρια, φρέσκο κρεμμύδι, λάχανο 和 glass noodles σε τραγανό φύλλο","2 Τεμάχια. Rolls γαρίδας with καρότο, μανιτάρια, φρέσκο κρεμμύδι, λάχανο and glass noodles σε τραγανό φύλλο","2 Τεμάχια. Ρολά γαρίδας με καρότο, μανιτάρια, φρέσκο κρεμμύδι, λάχανο και glass noodles σε τραγανό φύλλο","4.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/a7840c7a-1b71-11ec-bc7a-3217bb67b981_wok19.jpeg","true","5003"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","13. Πιτάκια 配 鸭肉","13. Πιτάκια with Duck","13. Πιτάκια με Πάπια","鸭肉 Πεκίνου τηγανισμένη 配 πίτα, φρέσκο κρεμμύδι, αγγούρι 和 dark sauce","Duck Πεκίνου τηγανισμένη with πίτα, φρέσκο κρεμμύδι, αγγούρι and dark sauce","Πάπια Πεκίνου τηγανισμένη με πίτα, φρέσκο κρεμμύδι, αγγούρι και dark sauce","7.9","","true","5004"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","14. Cracker 虾","14. Cracker Shrimp","14. Cracker Γαρίδας","","","","3","","true","5005"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","16. Τηγανητές 鸡翅 鸡肉υ","16. Τηγανητές Wings Chickenυ","16. Τηγανητές Φτερούγες Κοτόπουλου","4 Τεμάχια","4 Τεμάχια","4 Τεμάχια","4.3","https://imageproxy.wolt.com/assets/693bc693c630f8b0f6f403ab","true","5006"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","17. Τηγανητές 虾 配 Σουσάμι","17. Τηγανητές Shrimp with Σουσάμι","17. Τηγανητές Γαρίδες με Σουσάμι","4 Τεμάχια","4 Τεμάχια","4 Τεμάχια","7.3","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/2c7005a2-1b71-11ec-a924-56b14c1eeb29_wok14.jpeg","true","5007"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","18. Γλυκόξινα 猪肉 Παϊδάκια","18. Γλυκόξινα Pork Παϊδάκια","18. Γλυκόξινα Χοιρινά Παϊδάκια","Κομμένα σε μπουκιές","Κομμένα σε μπουκιές","Κομμένα σε μπουκιές","7.3","","true","5008"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","19. Παϊδάκια 配 Πιπέρι 和 Αλάτι","19. Παϊδάκια with Πιπέρι and Αλάτι","19. Παϊδάκια με Πιπέρι και Αλάτι","Κομμένα σε μπουκιές","Κομμένα σε μπουκιές","Κομμένα σε μπουκιές","7.3","","true","5009"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","20. Παϊδάκια 配 Ζάχαρη 和 Ξύδι","20. Παϊδάκια with Ζάχαρη and Ξύδι","20. Παϊδάκια με Ζάχαρη και Ξύδι","Κομμένα σε μπουκιές","Κομμένα σε μπουκιές","Κομμένα σε μπουκιές","7.3","","true","5010"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","21. 炒/炸 Dumplings 配 猪肉","21. Fried Dumplings with Pork","21. Τηγανητά Dumplings με Χοιρινό","9 Τεμάχια","9 Τεμάχια","9 Τεμάχια","9.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/1d46cf34-1b71-11ec-b47b-6ebdeeb82a10_wok13.jpeg","true","5011"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","22. Dumplings Ατμού 配 虾","22. Dumplings Ατμού with Shrimp","22. Dumplings Ατμού με Γαρίδες","4 Τεμάχια","4 Τεμάχια","4 Τεμάχια","6.9","","true","5012"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","23. Xiao Long Bao Ατμού","23. Xiao Long Bao Ατμού","23. Xiao Long Bao Ατμού","5 Τεμάχια","5 Τεμάχια","5 Τεμάχια","6.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/79757f9a-1b70-11ec-87c3-2a00642953cc_wok4.jpeg","true","5013"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","24. Κινέζικο Ψωμάκι","24. Κινέζικο Ψωμάκι","24. Κινέζικο Ψωμάκι","2 Τεμάχια Κινέζικο ψωμί","2 Τεμάχια Κινέζικο ψωμί","2 Τεμάχια Κινέζικο ψωμί","3","","true","5014"
"前菜","Appetizers","ΟΡΕΚΤΙΚΑ","25. 虾 Tempura","25. Shrimp Tempura","25. Γαρίδες Tempura","","","","7.3","","true","5015"
"汤面","Noodle Soups","ΣΟΥΠΕΣ ΜΕ NOODLES","30. 汤 Θαλασσινών 配 Noodles","30. Soup Θαλασσινών with Noodles","30. Σούπα Θαλασσινών με Noodles","汤 配 noodles, θαλασσινά 和 κινέζικο λάχανο","Soup with noodles, θαλασσινά and κινέζικο λάχανο","Σούπα με noodles, θαλασσινά και κινέζικο λάχανο","14.9","","true","6001"
"汤面","Noodle Soups","ΣΟΥΠΕΣ ΜΕ NOODLES","31. 汤 配 牛肉 和 Noodles","31. Soup with Beef and Noodles","31. Σούπα με Μοσχάρι και Noodles","汤 配 noodles, μαλακό μοσχάρι 和 κινέζικο λάχανο","Soup with noodles, μαλακό μοσχάρι and κινέζικο λάχανο","Σούπα με noodles, μαλακό μοσχάρι και κινέζικο λάχανο","14.9","","true","6002"
"汤面","Noodle Soups","ΣΟΥΠΕΣ ΜΕ NOODLES","32. 汤 配 Won Ton 和 Noodles","32. Soup with Won Ton and Noodles","32. Σούπα με Won Ton και Noodles","汤 配 noodles, won ton 配 χοιρινό 和 κινέζικο λάχανο","Soup with noodles, won ton with χοιρινό and κινέζικο λάχανο","Σούπα με noodles, won ton με χοιρινό και κινέζικο λάχανο","14.9","","true","6003"
"汤面","Noodle Soups","ΣΟΥΠΕΣ ΜΕ NOODLES","33. 汤 配 Dumplings 和 Noodles","33. Soup with Dumplings and Noodles","33. Σούπα με Dumplings και Noodles","汤 配 noodles, dumplings 配 γαρίδες 和 κινέζικο λάχανο","Soup with noodles, dumplings with γαρίδες and κινέζικο λάχανο","Σούπα με noodles, dumplings με γαρίδες και κινέζικο λάχανο","15.9","","true","6004"
"汤面","Noodle Soups","ΣΟΥΠΕΣ ΜΕ NOODLES","34. 汤 配 鸭肉 烤 和 Noodles","34. Soup with Duck Roasted and Noodles","34. Σούπα με Πάπια Ψητή και Noodles","汤 配 noodles, πάπια ψητή 1/4 和 κινέζικο λάχανο","Soup with noodles, πάπια ψητή 1/4 and κινέζικο λάχανο","Σούπα με noodles, πάπια ψητή 1/4 και κινέζικο λάχανο","16.5","","true","6005"
"汤面","Noodle Soups","ΣΟΥΠΕΣ ΜΕ NOODLES","35. 汤 配 烤 猪肉 和 Noodles","35. Soup with Roasted Pork and Noodles","35. Σούπα με Ψητό Χοιρινό και Noodles","汤 配 noodles, γλυκό χοιρινό 和 κινέζικο λάχανο","Soup with noodles, γλυκό χοιρινό and κινέζικο λάχανο","Σούπα με noodles, γλυκό χοιρινό και κινέζικο λάχανο","14.9","","true","6006"
"汤面","Noodle Soups","ΣΟΥΠΕΣ ΜΕ NOODLES","36. 汤 配 Ξεροψημένο 猪肉 和 Noodles","36. Soup with Ξεροψημένο Pork and Noodles","36. Σούπα με Ξεροψημένο Χοιρινό και Noodles","汤 配 noodles, ξεροψημένο χοιρινό 和 κινέζικο λάχανο","Soup with noodles, ξεροψημένο χοιρινό and κινέζικο λάχανο","Σούπα με noodles, ξεροψημένο χοιρινό και κινέζικο λάχανο","14.9","","true","6007"
"汤面","Noodle Soups","ΣΟΥΠΕΣ ΜΕ NOODLES","37. 汤 配 海鲜 和 Νoodles 米饭","37. Soup with Seafood and Νoodles Rice","37. Σούπα με Θαλασσινά και Νoodles Ρυζιού","汤 配 noodles ρυζιού, θαλασσινά 和 κινέζικο λάχανο","Soup with noodles ρυζιού, θαλασσινά and κινέζικο λάχανο","Σούπα με noodles ρυζιού, θαλασσινά και κινέζικο λάχανο","14.9","","true","6008"
"汤面","Noodle Soups","ΣΟΥΠΕΣ ΜΕ NOODLES","38. 汤 配 牛肉 和 Noodles 米饭","38. Soup with Beef and Noodles Rice","38. Σούπα με Μοσχάρι και Noodles Ρυζιού","汤 配 noodles ρυζιού, μαλακό μοσχάρι 和 κινέζικο λάχανο","Soup with noodles ρυζιού, μαλακό μοσχάρι and κινέζικο λάχανο","Σούπα με noodles ρυζιού, μαλακό μοσχάρι και κινέζικο λάχανο","14.9","","true","6009"
"汤面","Noodle Soups","ΣΟΥΠΕΣ ΜΕ NOODLES","39. 汤 配 Won Ton 和 Noodles 米饭","39. Soup with Won Ton and Noodles Rice","39. Σούπα με Won Ton και Noodles Ρυζιού","汤 配 noodles ρυζιού, won ton 配 χοιρινό 和 κινέζικο λάχανο","Soup with noodles ρυζιού, won ton with χοιρινό and κινέζικο λάχανο","Σούπα με noodles ρυζιού, won ton με χοιρινό και κινέζικο λάχανο","14.9","","true","6010"
"汤面","Noodle Soups","ΣΟΥΠΕΣ ΜΕ NOODLES","40. 汤 配 Dumplings 和 Noodles 米饭","40. Soup with Dumplings and Noodles Rice","40. Σούπα με Dumplings και Noodles Ρυζιού","汤 配 noodles ρυζιού, dumplings 配 γαρίδες 和 κινέζικο λάχανο","Soup with noodles ρυζιού, dumplings with γαρίδες and κινέζικο λάχανο","Σούπα με noodles ρυζιού, dumplings με γαρίδες και κινέζικο λάχανο","14.9","","true","6011"
"汤面","Noodle Soups","ΣΟΥΠΕΣ ΜΕ NOODLES","41. 汤 配 蔬菜 和 Noodles","41. Soup with Vegetables and Noodles","41. Σούπα με Λαχανικά και Noodles","","","","11.9","","true","6012"
"汤面","Noodle Soups","ΣΟΥΠΕΣ ΜΕ NOODLES","42. 汤 配 鸡肉 和 Nooodles 米饭","42. Soup with Chicken and Nooodles Rice","42. Σούπα με Κοτόπουλο και Nooodles Ρυζιού","","","","12.9","","true","6013"
"炒面","Fried Noodles","ΤΗΓΑΝΗΤΑ NOODLES","45. 炒/炸 Noodles 配 鸡蛋","45. Fried Noodles with Egg","45. Τηγανητά Noodles με Αυγό","","","","8.9","","true","7001"
"炒面","Fried Noodles","ΤΗΓΑΝΗΤΑ NOODLES","46. 炒/炸 Noodles 配 牛肉","46. Fried Noodles with Beef","46. Τηγανητά Noodles με Μοσχάρι","","","","11.5","","true","7002"
"炒面","Fried Noodles","ΤΗΓΑΝΗΤΑ NOODLES","47. 炒/炸 Noodles 配 蔬菜","47. Fried Noodles with Vegetables","47. Τηγανητά Noodles με Λαχανικά","","","","9.9","","true","7003"
"炒面","Fried Noodles","ΤΗΓΑΝΗΤΑ NOODLES","48. 炒/炸 Noodles 配 鸭肉","48. Fried Noodles with Duck","48. Τηγανητά Noodles με Πάπια","","","","11.9","","true","7004"
"炒面","Fried Noodles","ΤΗΓΑΝΗΤΑ NOODLES","49. 炒/炸 Noodles 配 鸡肉","49. Fried Noodles with Chicken","49. Τηγανητά Noodles με Κοτόπουλο","","","","10.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/42dfe9c0-1b70-11ec-bf9b-622ab477fd83_wok2.jpeg","true","7005"
"炒面","Fried Noodles","ΤΗΓΑΝΗΤΑ NOODLES","50. 炒/炸 Noodles 配 猪肉","50. Fried Noodles with Pork","50. Τηγανητά Noodles με Χοιρινό","","","","10.9","","true","7006"
"炒面","Fried Noodles","ΤΗΓΑΝΗΤΑ NOODLES","51. 炒/炸 Noodles 配 海鲜","51. Fried Noodles with Seafood","51. Τηγανητά Noodles με Θαλασσινά","","","","12.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/5da255ae-1b70-11ec-92df-c641871f7ee2_wok3.jpeg","true","7007"
"炒面","Fried Noodles","ΤΗΓΑΝΗΤΑ NOODLES","52. 炒/炸 Noodles 配 虾","52. Fried Noodles with Shrimp","52. Τηγανητά Noodles με Γαρίδες","","","","13.5","","true","7008"
"炒面","Fried Noodles","ΤΗΓΑΝΗΤΑ NOODLES","53. 炒/炸 Noodles 配 Καλαμάρι","53. Fried Noodles with Καλαμάρι","53. Τηγανητά Noodles με Καλαμάρι","","","","12.9","","true","7009"
"炒面","Fried Noodles","ΤΗΓΑΝΗΤΑ NOODLES","54. 炒/炸 Noodles Σιγκαπούρης","54. Fried Noodles Σιγκαπούρης","54. Τηγανητά Noodles Σιγκαπούρης","Κινέζικα μακαρόνια 配 χοιρινό 和 γαρίδες, κάρυ σε σκόνη 和 καυτερή πιπεριά","Κινέζικα μακαρόνια with χοιρινό and γαρίδες, κάρυ σε σκόνη and καυτερή πιπεριά","Κινέζικα μακαρόνια με χοιρινό και γαρίδες, κάρυ σε σκόνη και καυτερή πιπεριά","12.5","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/d0bbf166-1b71-11ec-ab1e-622ab477fd83_wok22.jpeg","true","7010"
"炒米粉","Fried Rice Noodles","ΤΗΓΑΝΗΤΑ NOODLES ΡΥΖΙΟΥ","60. 炒/炸 Noodles 米饭 配 鸡蛋","60. Fried Noodles Rice with Egg","60. Τηγανητά Noodles Ρυζιού με Αυγό","","","","9.5","","true","8001"
"炒米粉","Fried Rice Noodles","ΤΗΓΑΝΗΤΑ NOODLES ΡΥΖΙΟΥ","61. 炒/炸 Noodles 米饭 配 牛肉","61. Fried Noodles Rice with Beef","61. Τηγανητά Noodles Ρυζιού με Μοσχάρι","","","","12","","true","8002"
"炒米粉","Fried Rice Noodles","ΤΗΓΑΝΗΤΑ NOODLES ΡΥΖΙΟΥ","62. 炒/炸 Noodles 米饭 配 蔬菜","62. Fried Noodles Rice with Vegetables","62. Τηγανητά Noodles Ρυζιού με Λαχανικά","","","","10.5","","true","8003"
"炒米粉","Fried Rice Noodles","ΤΗΓΑΝΗΤΑ NOODLES ΡΥΖΙΟΥ","63. 炒/炸 Noodles 米饭 配 鸭肉","63. Fried Noodles Rice with Duck","63. Τηγανητά Noodles Ρυζιού με Πάπια","","","","12.5","","true","8004"
"炒米粉","Fried Rice Noodles","ΤΗΓΑΝΗΤΑ NOODLES ΡΥΖΙΟΥ","64. 炒/炸 Noodles 米饭 配 鸡肉","64. Fried Noodles Rice with Chicken","64. Τηγανητά Noodles Ρυζιού με Κοτόπουλο","","","","11.5","","true","8005"
"炒米粉","Fried Rice Noodles","ΤΗΓΑΝΗΤΑ NOODLES ΡΥΖΙΟΥ","65. 炒/炸 Noodles 米饭 配 猪肉","65. Fried Noodles Rice with Pork","65. Τηγανητά Noodles Ρυζιού με Χοιρινό","","","","11.9","","true","8006"
"炒米粉","Fried Rice Noodles","ΤΗΓΑΝΗΤΑ NOODLES ΡΥΖΙΟΥ","66. 炒/炸 Noodles 米饭 配 海鲜","66. Fried Noodles Rice with Seafood","66. Τηγανητά Noodles Ρυζιού με Θαλασσινά","","","","13.5","","true","8007"
"炒米粉","Fried Rice Noodles","ΤΗΓΑΝΗΤΑ NOODLES ΡΥΖΙΟΥ","67. 炒/炸 Noodles 米饭 配 虾","67. Fried Noodles Rice with Shrimp","67. Τηγανητά Noodles Ρυζιού με Γαρίδες","","","","13.9","","true","8008"
"炒米粉","Fried Rice Noodles","ΤΗΓΑΝΗΤΑ NOODLES ΡΥΖΙΟΥ","68. 炒/炸 Noodles 米饭 配 Καλαμάρι","68. Fried Noodles Rice with Καλαμάρι","68. Τηγανητά Noodles Ρυζιού με Καλαμάρι","","","","13.5","","true","8009"
"炒米粉","Fried Rice Noodles","ΤΗΓΑΝΗΤΑ NOODLES ΡΥΖΙΟΥ","69. 炒/炸 Noodles 米饭 Σιγκαπούρης","69. Fried Noodles Rice Σιγκαπούρης","69. Τηγανητά Noodles Ρυζιού Σιγκαπούρης","Καυτερό","Καυτερό","Καυτερό","12.9","","true","8010"
